index,recall_at_k,latency_ms,build_time_s,memory_mb
IndexFlatL2 (baseline),1.0,0.10234668571424013,0.003315285000098811,3.8716249465942383
IndexIVFFlat,0.92,0.03424025714398989,0.025149936000048,3.9655027389526367
IndexHNSWFlat,0.9657142857142857,0.045908057141527285,0.09531706899997516,4.556097030639648
