index,recall_at_5,latency_ms,build_time_s,memory_mb,hit_rate
IndexFlatL2,1.0,0.13560863333358006,0.0013496139999915613,3.8716249465942383,0.6666666666666666
IndexIVFFlat,0.76,0.03941976666510527,0.02678700100000242,3.9655027389526367,0.5666666666666667
IndexHNSWFlat,0.9,0.05697226666635895,0.10084704799999145,4.556097030639648,0.6666666666666666
IndexPQ,0.26,0.03703479999899173,0.5398014359999479,0.3952465057373047,0.4
IndexIVFPQ,0.22,0.031681433334066846,0.7655615990000229,0.5097389221191406,0.4
