index,precision_at_5,recall_at_5
IndexFlatL2,0.2066666666666667,0.024870125863064495
IndexIVFFlat,0.20666666666666664,0.024609199697726566
IndexHNSWFlat,0.2533333333333333,0.027611971319195665
IndexPQ,0.21333333333333335,0.01869407090124919
IndexIVFPQ,0.15333333333333332,0.021392704770574644
