index,precision_at_5,recall_at_5,hit_rate
IndexFlatL2,0.2066666666666667,0.024870125863064495,0.5333333333333333
IndexIVFFlat,0.20666666666666664,0.024609199697726566,0.5
IndexHNSWFlat,0.2533333333333333,0.027611971319195665,0.6
IndexPQ,0.21333333333333335,0.01869407090124919,0.43333333333333335
IndexIVFPQ,0.15333333333333332,0.021392704770574644,0.3333333333333333
