index,recall_at_5,latency_ms,build_time_s,memory_mb,hit_rate
IndexFlatL2,1.0,0.36301516666602157,0.005100264000020616,6.109906196594238,0.5333333333333333
IndexIVFFlat,0.8266666666666667,0.09599043333234174,0.06335603299999093,6.215441703796387,0.5
IndexHNSWFlat,0.8466666666666667,0.11558629999702437,0.34985377500004233,7.189672470092773,0.6
IndexPQ,0.13333333333333333,0.12318500000295293,0.21186899500003165,0.11769866943359375,0.43333333333333335
IndexIVFPQ,0.22,0.06009259999852172,0.30693537000001925,0.2438488006591797,0.3333333333333333
