antecedent,consequent,confidence,lift,support,readable
['GPU_NVIDIA'],['STORAGE_1-2TB'],0.3220338983050847,3.3220338983050848,0.06785714285714285,"GPU_NVIDIA  ->  STORAGE_1-2TB   (confidence=0.32, lift=3.32)"
['STORAGE_1-2TB'],['GPU_NVIDIA'],0.7,3.3220338983050843,0.06785714285714285,"STORAGE_1-2TB  ->  GPU_NVIDIA   (confidence=0.70, lift=3.32)"
['RAM_32GB+'],['CPU_CoreUltra'],0.42216358839050133,3.1702706254612365,0.08163265306122448,"RAM_32GB+  ->  CPU_CoreUltra   (confidence=0.42, lift=3.17)"
['CPU_CoreUltra'],['RAM_32GB+'],0.6130268199233716,3.170270625461236,0.08163265306122448,"CPU_CoreUltra  ->  RAM_32GB+   (confidence=0.61, lift=3.17)"
"['RAM_16-32GB', 'STORAGE_SSD', 'PRICE_1200+']",['CPU_i7/i9'],0.9139072847682119,3.1536237291297455,0.07040816326530612,"RAM_16-32GB, STORAGE_SSD, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.91, lift=3.15)"
"['STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.8662420382165605,2.989145061451512,0.06938775510204082,"STORAGE_128-256GB, STORAGE_SSD, PRICE_1200+, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.87, lift=2.99)"
"['CPU_i5', 'STORAGE_SSD', 'PRICE_1200+']",['RAM_8-16GB'],0.8536585365853658,2.945723119203023,0.05357142857142857,"CPU_i5, STORAGE_SSD, PRICE_1200+  ->  RAM_8-16GB   (confidence=0.85, lift=2.95)"
"['GPU_NVIDIA', 'STORAGE_SSD', 'PRICE_1200+']",['CPU_i7/i9'],0.8491620111731844,2.9302069399638055,0.07755102040816327,"GPU_NVIDIA, STORAGE_SSD, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.85, lift=2.93)"
"['RAM_<8GB', 'PRICE_400-700']",['STORAGE_HDD'],0.6219512195121951,2.9163262924495275,0.05204081632653061,"RAM_<8GB, PRICE_400-700  ->  STORAGE_HDD   (confidence=0.62, lift=2.92)"
"['STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+']",['RAM_8-16GB'],0.8349514563106796,2.8811705182551623,0.08775510204081632,"STORAGE_128-256GB, STORAGE_SSD, PRICE_1200+  ->  RAM_8-16GB   (confidence=0.83, lift=2.88)"
"['CPU_i5', 'PRICE_1200+']",['RAM_8-16GB'],0.8161764705882353,2.816383595691798,0.05663265306122449,"CPU_i5, PRICE_1200+  ->  RAM_8-16GB   (confidence=0.82, lift=2.82)"
"['CPU_i5', 'RAM_8-16GB', 'GPU_IntelIntegrated']",['STORAGE_128-256GB'],0.8255813953488372,2.7613302643066913,0.07244897959183673,"CPU_i5, RAM_8-16GB, GPU_IntelIntegrated  ->  STORAGE_128-256GB   (confidence=0.83, lift=2.76)"
"['STORAGE_128-256GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.791907514450867,2.7326386062036963,0.06989795918367347,"STORAGE_128-256GB, PRICE_1200+, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.79, lift=2.73)"
"['GPU_NVIDIA', 'RAM_16-32GB']",['CPU_i7/i9'],0.7903225806451613,2.727169468423444,0.05,"GPU_NVIDIA, RAM_16-32GB  ->  CPU_i7/i9   (confidence=0.79, lift=2.73)"
"['RAM_<8GB', 'STORAGE_HDD']",['PRICE_400-700'],0.53125,2.7045454545454546,0.05204081632653061,"RAM_<8GB, STORAGE_HDD  ->  PRICE_400-700   (confidence=0.53, lift=2.70)"
"['STORAGE_HDD', 'PRICE_1200+']",['CPU_i7/i9'],0.7829457364341085,2.7017141609346,0.05153061224489796,"STORAGE_HDD, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.78, lift=2.70)"
"['CPU_CoreUltra', 'GPU_IntelIntegrated']",['RAM_32GB+'],0.5185185185185185,2.6815205707026286,0.05,"CPU_CoreUltra, GPU_IntelIntegrated  ->  RAM_32GB+   (confidence=0.52, lift=2.68)"
"['CPU_i5', 'PRICE_1200+']",['STORAGE_128-256GB'],0.7941176470588235,2.6560931539851436,0.05510204081632653,"CPU_i5, PRICE_1200+  ->  STORAGE_128-256GB   (confidence=0.79, lift=2.66)"
"['STORAGE_Dual-Drive', 'STORAGE_SSD']",['CPU_i7/i9'],0.7692307692307693,2.6543878656554716,0.05102040816326531,"STORAGE_Dual-Drive, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.77, lift=2.65)"
"['PRICE_1200+', 'GPU_IntelIntegrated']",['CPU_CoreUltra'],0.352803738317757,2.649407383535647,0.0770408163265306,"PRICE_1200+, GPU_IntelIntegrated  ->  CPU_CoreUltra   (confidence=0.35, lift=2.65)"
"['CPU_i7/i9', 'STORAGE_128-256GB', 'STORAGE_SSD']",['RAM_8-16GB'],0.7608695652173914,2.6255358236374775,0.05357142857142857,"CPU_i7/i9, STORAGE_128-256GB, STORAGE_SSD  ->  RAM_8-16GB   (confidence=0.76, lift=2.63)"
"['CPU_i5', 'STORAGE_128-256GB', 'STORAGE_SSD']",['RAM_8-16GB'],0.7584541062801933,2.6172007892767235,0.08010204081632653,"CPU_i5, STORAGE_128-256GB, STORAGE_SSD  ->  RAM_8-16GB   (confidence=0.76, lift=2.62)"
['STORAGE_Dual-Drive'],['CPU_i7/i9'],0.7575757575757576,2.6141698676909946,0.05102040816326531,"STORAGE_Dual-Drive  ->  CPU_i7/i9   (confidence=0.76, lift=2.61)"
"['STORAGE_128-256GB', 'PRICE_1200+']",['RAM_8-16GB'],0.7565217391304347,2.61053276178812,0.08877551020408163,"STORAGE_128-256GB, PRICE_1200+  ->  RAM_8-16GB   (confidence=0.76, lift=2.61)"
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['CPU_i5'],0.6237623762376238,2.606768139500517,0.06428571428571428,"RAM_8-16GB, STORAGE_128-256GB, STORAGE_SSD, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.62, lift=2.61)"
"['RAM_8-16GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",['STORAGE_128-256GB'],0.7784090909090909,2.603552590753956,0.06989795918367347,"RAM_8-16GB, PRICE_1200+, GPU_IntelIntegrated  ->  STORAGE_128-256GB   (confidence=0.78, lift=2.60)"
"['GPU_NVIDIA', 'STORAGE_SSD']",['CPU_i7/i9'],0.7456896551724138,2.5731544439048086,0.08826530612244898,"GPU_NVIDIA, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.75, lift=2.57)"
"['GPU_NVIDIA', 'CPU_i7/i9']",['STORAGE_HDD'],0.5486725663716814,2.5727230384892237,0.06326530612244897,"GPU_NVIDIA, CPU_i7/i9  ->  STORAGE_HDD   (confidence=0.55, lift=2.57)"
"['CPU_i5', 'STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.7455621301775148,2.5727143928660725,0.06428571428571428,"CPU_i5, STORAGE_128-256GB, STORAGE_SSD, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.75, lift=2.57)"
"['CPU_i5', 'STORAGE_SSD']",['RAM_8-16GB'],0.7261904761904762,2.505868544600939,0.0933673469387755,"CPU_i5, STORAGE_SSD  ->  RAM_8-16GB   (confidence=0.73, lift=2.51)"
"['RAM_8-16GB', 'STORAGE_128-256GB', 'GPU_IntelIntegrated']",['CPU_i5'],0.5966386554621849,2.4934152765583844,0.07244897959183673,"RAM_8-16GB, STORAGE_128-256GB, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.60, lift=2.49)"
"['CPU_i7/i9', 'PRICE_1200+']",['GPU_NVIDIA'],0.5230769230769231,2.4823989569752283,0.08673469387755102,"CPU_i7/i9, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.52, lift=2.48)"
"['CPU_i7/i9', 'STORAGE_SSD', 'PRICE_1200+']",['GPU_NVIDIA'],0.5223367697594502,2.4788863649601027,0.07755102040816327,"CPU_i7/i9, STORAGE_SSD, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.52, lift=2.48)"
"['GPU_NVIDIA', 'STORAGE_HDD']",['CPU_i7/i9'],0.7005649717514124,2.4174425081562823,0.06326530612244897,"GPU_NVIDIA, STORAGE_HDD  ->  CPU_i7/i9   (confidence=0.70, lift=2.42)"
"['RAM_16-32GB', 'STORAGE_SSD']",['CPU_i7/i9'],0.6962025316455697,2.402389017650205,0.08418367346938775,"RAM_16-32GB, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.70, lift=2.40)"
"['CPU_i5', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.6947368421052632,2.3973313565604153,0.0673469387755102,"CPU_i5, STORAGE_SSD, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.69, lift=2.40)"
['STORAGE_HDD'],['RAM_<8GB'],0.45933014354066987,2.39438053547796,0.09795918367346938,"STORAGE_HDD  ->  RAM_<8GB   (confidence=0.46, lift=2.39)"
['RAM_<8GB'],['STORAGE_HDD'],0.5106382978723404,2.3943805354779597,0.09795918367346938,"RAM_<8GB  ->  STORAGE_HDD   (confidence=0.51, lift=2.39)"
"['RAM_8-16GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",['STORAGE_SSD'],0.9715909090909091,2.3863636363636362,0.08724489795918368,"RAM_8-16GB, PRICE_1200+, GPU_IntelIntegrated  ->  STORAGE_SSD   (confidence=0.97, lift=2.39)"
"['RAM_8-16GB', 'GPU_IntelIntegrated']",['STORAGE_128-256GB'],0.7104477611940299,2.376241658601192,0.12142857142857143,"RAM_8-16GB, GPU_IntelIntegrated  ->  STORAGE_128-256GB   (confidence=0.71, lift=2.38)"
