antecedent,consequent,confidence,lift,support,readable
"['STORAGE_1TB', 'RAM_8-16GB']",['STORAGE_HDD'],0.968503937007874,3.778423151651498,0.08189081225033289,"STORAGE_1TB, RAM_8-16GB  ->  STORAGE_HDD   (confidence=0.97, lift=3.78)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_HDD'],0.9382716049382716,3.660477793811127,0.05059920106524634,"GPU_NVIDIA, STORAGE_1TB, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.94, lift=3.66)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_HDD'],0.9340659340659341,3.644070215498787,0.05659121171770972,"GPU_NVIDIA, STORAGE_1TB, PRICE_1200+, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.93, lift=3.64)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'CPU_i7/i9', 'STORAGE_SSD']",['STORAGE_HDD'],0.9294117647058824,3.6259129106187933,0.0525965379494008,"GPU_NVIDIA, STORAGE_1TB, CPU_i7/i9, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.93, lift=3.63)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'STORAGE_SSD']",['STORAGE_HDD'],0.9230769230769231,3.6011988011988016,0.06391478029294274,"GPU_NVIDIA, STORAGE_1TB, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.92, lift=3.60)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+']",['STORAGE_HDD'],0.9230769230769231,3.6011988011988016,0.0559254327563249,"GPU_NVIDIA, STORAGE_1TB, CPU_i7/i9, PRICE_1200+  ->  STORAGE_HDD   (confidence=0.92, lift=3.60)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'CPU_i7/i9']",['STORAGE_HDD'],0.911504424778761,3.5560510286174,0.06857523302263649,"GPU_NVIDIA, STORAGE_1TB, CPU_i7/i9  ->  STORAGE_HDD   (confidence=0.91, lift=3.56)"
"['PRICE_400-700', 'STORAGE_HDD']",['RAM_<8GB'],0.7899159663865546,3.4998636622790706,0.06258322237017311,"PRICE_400-700, STORAGE_HDD  ->  RAM_<8GB   (confidence=0.79, lift=3.50)"
"['STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_HDD'],0.8777777777777778,3.4244733044733047,0.0525965379494008,"STORAGE_1TB, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.88, lift=3.42)"
"['STORAGE_HDD', 'GPU_IntelIntegrated']",['RAM_<8GB'],0.7635135135135135,3.3828828828828827,0.07523302263648468,"STORAGE_HDD, GPU_IntelIntegrated  ->  RAM_<8GB   (confidence=0.76, lift=3.38)"
"['GPU_NVIDIA', 'STORAGE_1TB']",['STORAGE_HDD'],0.8654970760233918,3.3765626186678817,0.0985352862849534,"GPU_NVIDIA, STORAGE_1TB  ->  STORAGE_HDD   (confidence=0.87, lift=3.38)"
"['STORAGE_1TB', 'CPU_i7/i9']",['GPU_NVIDIA'],0.6686390532544378,3.2927733048792316,0.07523302263648468,"STORAGE_1TB, CPU_i7/i9  ->  GPU_NVIDIA   (confidence=0.67, lift=3.29)"
"['STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+']",['STORAGE_HDD'],0.8411214953271028,3.2814661973540478,0.05992010652463382,"STORAGE_1TB, CPU_i7/i9, PRICE_1200+  ->  STORAGE_HDD   (confidence=0.84, lift=3.28)"
"['RAM_16-32GB', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.6638655462184874,3.269265739082518,0.0525965379494008,"RAM_16-32GB, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.66, lift=3.27)"
"['GPU_NVIDIA', 'STORAGE_1TB', 'PRICE_1200+']",['STORAGE_HDD'],0.831858407079646,3.2453281232042293,0.06258322237017311,"GPU_NVIDIA, STORAGE_1TB, PRICE_1200+  ->  STORAGE_HDD   (confidence=0.83, lift=3.25)"
"['RAM_16-32GB', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.6511627906976745,3.206709874189859,0.0559254327563249,"RAM_16-32GB, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.65, lift=3.21)"
"['STORAGE_1TB', 'CPU_i7/i9', 'STORAGE_SSD']",['STORAGE_HDD'],0.8217821782178217,3.206017744631606,0.05525965379494008,"STORAGE_1TB, CPU_i7/i9, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.82, lift=3.21)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_1TB'],0.9444444444444444,3.173502361421824,0.05659121171770972,"GPU_NVIDIA, STORAGE_HDD, PRICE_1200+, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.17)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'STORAGE_SSD']",['STORAGE_1TB'],0.9411764705882353,3.162521384392683,0.06391478029294274,"GPU_NVIDIA, STORAGE_HDD, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.16)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'CPU_i7/i9', 'STORAGE_SSD']",['STORAGE_1TB'],0.9404761904761905,3.1601683178864386,0.0525965379494008,"GPU_NVIDIA, STORAGE_HDD, CPU_i7/i9, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.16)"
"['STORAGE_HDD', 'STORAGE_SSD']",['STORAGE_1TB'],0.9385964912280702,3.153852192001256,0.07123834886817576,"STORAGE_HDD, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.15)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_1TB'],0.9382716049382716,3.152760515922335,0.05059920106524634,"GPU_NVIDIA, STORAGE_HDD, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.15)"
"['RAM_16-32GB', 'CPU_i7/i9', 'PRICE_1200+']",['GPU_NVIDIA'],0.64,3.151737704918033,0.05326231691078562,"RAM_16-32GB, CPU_i7/i9, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.64, lift=3.15)"
"['STORAGE_HDD', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_1TB'],0.9375,3.150167785234899,0.05992010652463382,"STORAGE_HDD, PRICE_1200+, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.94, lift=3.15)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+']",['STORAGE_1TB'],0.9333333333333333,3.136167039522744,0.0559254327563249,"GPU_NVIDIA, STORAGE_HDD, CPU_i7/i9, PRICE_1200+  ->  STORAGE_1TB   (confidence=0.93, lift=3.14)"
"['STORAGE_HDD', 'CPU_i7/i9', 'STORAGE_SSD']",['STORAGE_1TB'],0.9325842696629213,3.1336500515295476,0.05525965379494008,"STORAGE_HDD, CPU_i7/i9, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.93, lift=3.13)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'PRICE_1200+']",['STORAGE_1TB'],0.9306930693069307,3.127295279863557,0.06258322237017311,"GPU_NVIDIA, STORAGE_HDD, PRICE_1200+  ->  STORAGE_1TB   (confidence=0.93, lift=3.13)"
"['STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_1TB'],0.9294117647058824,3.1229898670877745,0.0525965379494008,"STORAGE_HDD, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  STORAGE_1TB   (confidence=0.93, lift=3.12)"
"['STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+']",['STORAGE_1TB'],0.9278350515463918,3.1176918286860857,0.05992010652463382,"STORAGE_HDD, CPU_i7/i9, PRICE_1200+  ->  STORAGE_1TB   (confidence=0.93, lift=3.12)"
"['CPU_Other', 'GPU_IntelIntegrated']",['RAM_<8GB'],0.7014925373134329,3.10808787918813,0.06258322237017311,"CPU_Other, GPU_IntelIntegrated  ->  RAM_<8GB   (confidence=0.70, lift=3.11)"
"['STORAGE_1TB', 'STORAGE_SSD']",['GPU_NVIDIA'],0.6265060240963856,3.085285403910725,0.0692410119840213,"STORAGE_1TB, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.63, lift=3.09)"
"['STORAGE_1TB', 'PRICE_1200+']",['GPU_NVIDIA'],0.6174863387978142,3.0408671504075966,0.07523302263648468,"STORAGE_1TB, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.62, lift=3.04)"
"['GPU_NVIDIA', 'STORAGE_HDD']",['STORAGE_1TB'],0.9024390243902439,3.032356632291155,0.0985352862849534,"GPU_NVIDIA, STORAGE_HDD  ->  STORAGE_1TB   (confidence=0.90, lift=3.03)"
"['STORAGE_1TB', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_HDD'],0.7758620689655172,3.0268696820420957,0.05992010652463382,"STORAGE_1TB, PRICE_1200+, STORAGE_SSD  ->  STORAGE_HDD   (confidence=0.78, lift=3.03)"
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['STORAGE_256GB'],0.847457627118644,3.0163065306450316,0.06657789613848203,"CPU_i5, RAM_8-16GB, STORAGE_SSD, GPU_IntelIntegrated  ->  STORAGE_256GB   (confidence=0.85, lift=3.02)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'CPU_i7/i9']",['STORAGE_1TB'],0.8956521739130435,3.0095516000389066,0.06857523302263649,"GPU_NVIDIA, STORAGE_HDD, CPU_i7/i9  ->  STORAGE_1TB   (confidence=0.90, lift=3.01)"
['CPU_i3'],['RAM_<8GB'],0.6774193548387096,3.001427347987439,0.0559254327563249,"CPU_i3  ->  RAM_<8GB   (confidence=0.68, lift=3.00)"
"['STORAGE_HDD', 'CPU_i7/i9']",['STORAGE_1TB'],0.8865248226950354,2.97888206641598,0.08322237017310254,"STORAGE_HDD, CPU_i7/i9  ->  STORAGE_1TB   (confidence=0.89, lift=2.98)"
['CPU_i3'],['PRICE_400-700'],0.6693548387096774,2.9744703187631227,0.05525965379494008,"CPU_i3  ->  PRICE_400-700   (confidence=0.67, lift=2.97)"
"['GPU_NVIDIA', 'RAM_16-32GB', 'PRICE_1200+', 'STORAGE_SSD']",['CPU_i7/i9'],0.9404761904761905,2.912567501227295,0.0525965379494008,"GPU_NVIDIA, RAM_16-32GB, PRICE_1200+, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.94, lift=2.91)"
"['CPU_i5', 'RAM_8-16GB', 'PRICE_1200+', 'STORAGE_SSD']",['STORAGE_256GB'],0.8172043010752689,2.90862763084136,0.05059920106524634,"CPU_i5, RAM_8-16GB, PRICE_1200+, STORAGE_SSD  ->  STORAGE_256GB   (confidence=0.82, lift=2.91)"
"['STORAGE_1TB', 'CPU_i7/i9']",['STORAGE_HDD'],0.7396449704142012,2.8855759624990394,0.08322237017310254,"STORAGE_1TB, CPU_i7/i9  ->  STORAGE_HDD   (confidence=0.74, lift=2.89)"
"['STORAGE_HDD', 'PRICE_1200+']",['STORAGE_1TB'],0.8571428571428571,2.880153403643336,0.06790945406125166,"STORAGE_HDD, PRICE_1200+  ->  STORAGE_1TB   (confidence=0.86, lift=2.88)"
"['GPU_NVIDIA', 'RAM_16-32GB', 'STORAGE_SSD']",['CPU_i7/i9'],0.9294117647058824,2.878302001212856,0.0525965379494008,"GPU_NVIDIA, RAM_16-32GB, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.93, lift=2.88)"
"['STORAGE_HDD', 'RAM_8-16GB']",['STORAGE_1TB'],0.8541666666666666,2.870152870991797,0.08189081225033289,"STORAGE_HDD, RAM_8-16GB  ->  STORAGE_1TB   (confidence=0.85, lift=2.87)"
"['RAM_16-32GB', 'PRICE_1200+', 'STORAGE_SSD']",['CPU_i7/i9'],0.9224806201550387,2.8568368896347796,0.0792276964047936,"RAM_16-32GB, PRICE_1200+, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.92, lift=2.86)"
"['PRICE_400-700', 'STORAGE_1TB']",['STORAGE_HDD'],0.7307692307692307,2.8509490509490507,0.05059920106524634,"PRICE_400-700, STORAGE_1TB  ->  STORAGE_HDD   (confidence=0.73, lift=2.85)"
"['RAM_16-32GB', 'PRICE_1200+']",['GPU_NVIDIA'],0.577922077922078,2.8460293804556103,0.059254327563249,"RAM_16-32GB, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.58, lift=2.85)"
"['GPU_NVIDIA', 'RAM_16-32GB', 'CPU_i7/i9', 'STORAGE_SSD']",['PRICE_1200+'],1.0,2.8446969696969697,0.0525965379494008,"GPU_NVIDIA, RAM_16-32GB, CPU_i7/i9, STORAGE_SSD  ->  PRICE_1200+   (confidence=1.00, lift=2.84)"
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_SSD']",['STORAGE_256GB'],0.7904191616766467,2.8132928455884443,0.08788282290279627,"CPU_i5, RAM_8-16GB, STORAGE_SSD  ->  STORAGE_256GB   (confidence=0.79, lift=2.81)"
"['GPU_NVIDIA', 'RAM_16-32GB', 'STORAGE_SSD']",['PRICE_1200+'],0.9882352941176471,2.8112299465240644,0.0559254327563249,"GPU_NVIDIA, RAM_16-32GB, STORAGE_SSD  ->  PRICE_1200+   (confidence=0.99, lift=2.81)"
"['STORAGE_HDD', 'RAM_8-16GB']",['GPU_NVIDIA'],0.5694444444444444,2.8042805100182147,0.05459387483355526,"STORAGE_HDD, RAM_8-16GB  ->  GPU_NVIDIA   (confidence=0.57, lift=2.80)"
"['CPU_i5', 'RAM_8-16GB', 'PRICE_1200+']",['STORAGE_256GB'],0.7857142857142857,2.796547054840894,0.05126498002663116,"CPU_i5, RAM_8-16GB, PRICE_1200+  ->  STORAGE_256GB   (confidence=0.79, lift=2.80)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'PRICE_1200+', 'STORAGE_SSD']",['CPU_i7/i9'],0.9,2.787216494845361,0.05392809587217044,"GPU_NVIDIA, STORAGE_HDD, PRICE_1200+, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.90, lift=2.79)"
"['GPU_NVIDIA', 'RAM_16-32GB', 'PRICE_1200+']",['CPU_i7/i9'],0.898876404494382,2.783736823815591,0.05326231691078562,"GPU_NVIDIA, RAM_16-32GB, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.90, lift=2.78)"
"['CPU_i5', 'STORAGE_256GB', 'PRICE_1200+']",['RAM_8-16GB'],0.927710843373494,2.7812808118702352,0.05126498002663116,"CPU_i5, STORAGE_256GB, PRICE_1200+  ->  RAM_8-16GB   (confidence=0.93, lift=2.78)"
"['CPU_i5', 'STORAGE_256GB', 'PRICE_1200+', 'STORAGE_SSD']",['RAM_8-16GB'],0.926829268292683,2.778637846258702,0.05059920106524634,"CPU_i5, STORAGE_256GB, PRICE_1200+, STORAGE_SSD  ->  RAM_8-16GB   (confidence=0.93, lift=2.78)"
"['STORAGE_256GB', 'PRICE_1200+', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.9256198347107438,2.7750119595519704,0.07456724367509987,"STORAGE_256GB, PRICE_1200+, STORAGE_SSD, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.93, lift=2.78)"
"['GPU_NVIDIA', 'STORAGE_HDD', 'STORAGE_1TB', 'PRICE_1200+', 'STORAGE_SSD']",['CPU_i7/i9'],0.8941176470588236,2.7689993935718618,0.05059920106524634,"GPU_NVIDIA, STORAGE_HDD, STORAGE_1TB, PRICE_1200+, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.89, lift=2.77)"
"['RAM_8-16GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['STORAGE_256GB'],0.7777777777777778,2.768299104791996,0.10719041278295606,"RAM_8-16GB, STORAGE_SSD, GPU_IntelIntegrated  ->  STORAGE_256GB   (confidence=0.78, lift=2.77)"
"['RAM_8-16GB', 'PRICE_1200+', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['STORAGE_256GB'],0.7777777777777778,2.768299104791996,0.07456724367509987,"RAM_8-16GB, PRICE_1200+, STORAGE_SSD, GPU_IntelIntegrated  ->  STORAGE_256GB   (confidence=0.78, lift=2.77)"
